key,like_count,comment_count
nd946a5f905a2,497,26
nf6ccaf0568b1,36,5
na39f8bd0d904,89,24
ne2c1b7ed560e,57,32
n37bc620cf0d1,59,42
n49b6b326514d,60,7
n53356d822048,30,10
nd09c056ecbfb,57,10
n3731a31658d7,61,34
nafb9b4e375ab,62,21
nd8fe5e576cce,99,48
n05bbd982698a,61,29
n53dcb5451030,79,15
n07d205a19603,81,16
n8648cb5147d7,41,17
n261ef05441fc,27,6
n315f615c46be,86,30
n37807f8f8758,32,2
nb7e806e80e6f,28,6
ndab2c65784a4,62,25
n952afecee532,50,22
n44e008693003,70,23
ndcd7ccbbe066,141,64
n13bae120b6b1,57,25
n4a728c90e80a,89,23
n20327bbb52a0,67,19
n0c975488dac3,19,17
n4d3268312eea,69,25
n658b04d856df,48,30
n752e308d78e3,43,5
n4df26924361c,147,38
n204ca8f1a30a,98,40
na4abe86e6e5c,19,6
nc32cbcac11b3,75,10
n69248aa87f12,126,24
n14d128958abc,86,20
nc466c22ba3b6,22,0
n2048486b8993,36,18
na78164f7ade7,74,29
nca814dd2d8da,69,31
n523dbbb83efb,108,35
n097e5b798056,110,21
n9605484b22ec,74,45
ne41b5368282d,13,0
nace51bade3c8,69,38
n49581ca64d63,72,37
n7b682c6fa0fd,74,37
na174a3a630f3,74,29
n07718b48b033,80,42
n8da8091b30f1,56,22
n334ef1190d54,78,45
n7c0ac8c69fcb,64,34
n33a65d1f4b95,29,10
n7f472192316e,64,24
n2f90b0f875ae,55,46
nb8e8de0aabb8,103,34
n8267f9389393,84,83
n165fc3619e8a,104,41
n857e1f752c2e,76,37
nd7e8d8d1f696,64,19
n5f594f849c4b,28,4
n07197895a3e9,41,13
nc050f21065a6,83,21
nab59db8b2331,99,23
n6293052c90d8,81,25
n6a60dcb7331c,60,23
n8a465fd66c5f,59,21
ne42952207820,68,14
nee2cf5453f61,49,20
ne2bb6d38c4e3,32,15
n0cd6640704fd,77,22
nb1ad629c3521,109,27
n155066063025,97,26
ndbabcde3c6c7,72,33
nf5a0605f6804,66,22
n1a488193c9f5,69,12
n7c537e680f56,82,88
n3a0830e2cc64,71,37
ndda6aa6d3fb1,51,21
nee997e61457a,64,46
ncfabab6d1e2b,81,20
nae95b4013622,70,29
n1d32162cd219,28,2
nbe6ef7fc6e07,60,25
nfe531191f233,85,16
n5f991f7606e9,18,2
nb22642a2ee59,51,15
ndcf74df8e26d,77,53
n9d3ab3287016,63,20
nea4a6e7d7e7e,33,18
n431998ad8a2f,75,13
n9f271d5f24b1,97,16
n05348e338123,64,32
n0f919ece03f2,104,19
n236b3352fde3,105,33
n1cb447965e43,29,7
neb02f3c0d51c,58,31
nfab047768b25,91,19
n000adbea1df9,76,23
n72bd2476f5d0,93,29
nfa2d9f69716e,57,14
n86e1c6ff59e1,18,0
naa550d1a45bf,85,10
ndb86a66932ee,16,0
nd200c8676064,120,27
n3ab972786aa0,73,16
n0fb91ccbdb4e,47,16
n4c64f88ab49b,19,0
n60a95ed89a82,53,9
n1ab80047f8f8,85,16
n0323b9955abb,22,2
nfb6b2d84dfc9,50,4
n303c3d8818f9,50,14
n702fe66aa98d,80,12
n109b8114e303,67,8
n481763dc5907,61,10
na26fb55ec4a4,47,18
n5e5b2be5a43d,43,10
n2cb6de9b82ac,34,8
n8dcc1f1d0579,56,15
na3689fa63d00,33,15
n38437d0f3242,19,0
nf08466dc09bb,38,11
n0fdfc6b51e39,35,14
n8e365e887d5f,57,29
n75c75b748013,37,3
n416797a1f095,41,9
nd23133bef885,55,18
n47e9f83d5be4,59,27
n15d7b3497c9e,29,15
n5c5913089d08,33,7
n7fdf6f8905f2,34,16
nd2b31a38e1d0,22,8
n8ded3116a32b,16,7
n0b51748722e2,38,8
n62eff56628d9,25,12
n3fda9e343c90,32,7
n49027cde285d,80,19
n3f23f1083102,21,6
n74b4b334899b,46,10
n36f50a94ca4a,53,12
nd9fa08da2f22,19,0
nc7eeae4fd62a,59,18
nf4b2a8e8ad77,55,12
n7eaef3bc10e0,33,4
n046368935947,25,4
nd71be82fefe9,39,13
n8e9be5f0beb2,34,7
ne0eebe79d622,42,15
nb392a506a3e1,24,8
n1d8c09ab19fe,57,16
n3bc5560c332b,48,9
nd63df6192d8e,43,7
ncc237b121648,55,4
na5f2da44ab86,28,6
n3894835fb15f,31,2
nb7488a280674,21,0
nf2b4ab8e3984,44,8
nf672e28ce323,65,8
nfe75462bec74,20,0
nb3c2d9953a8b,40,7
na7bea569cf06,31,13
ne4b73186f941,56,11
n7e35b947e3de,53,15
ne05d861f6c12,35,4
nefe9fa2bbf20,21,0
n879ba96f5373,30,10
n6bb62fafa0bd,34,4
n3214d31743ff,24,4
n51c3a89314e6,32,0
n69f2daa43697,41,8
n3f4909491005,48,4
n3f2b80da27cf,55,6
nc5a428f6d0ae,34,0
n9ec143973781,15,1
n37fcc28a1103,50,4
neb2f2209fa2c,32,0
nbdce62ffcccf,17,0
nf9f691a489c6,24,10
n214601fceec8,40,0
naece6ec6f759,24,7
n71f8cf9a71aa,25,3
nc3d84cc61e71,11,0
n56cb68c44f3e,15,0
nd0128aa9b647,5,0
na9618518142e,14,0
nc6a83f270ae6,59,8
n1cb6e6b2206e,21,0
nef8e1fc0b79b,23,0
n825cd2765f6a,38,0
ndafda6008b59,47,7
n6be7c377ebf1,10,0
n8787acd84304,12,2
n99aeb0e59463,25,0
na347d2af866a,38,0
n403f44ea9f9f,16,0
n002a6c2cd267,22,0
n905d9dd7b39e,7,0
n7aab328f7e4e,5,0
n23b9ce5c667c,9,0
ne2173e797345,28,0
necb9da5bb9af,23,0
n023ff6bdcf19,8,0
n5eb4318fe0fb,26,0
ne5a42407885c,14,0
n32534069903c,31,1
nb53ceb8d62c9,42,0
n96948074db57,14,2
n673fc6dfa3bc,26,0
n3a5e783a26d5,9,0
n556ea08a997c,29,0
n4017165a9343,16,2
ncd8b72a7ae92,25,2
n66b83839450f,26,8
n5d8a0b388884,21,6
nd2722cb5a4da,14,0
n7cb62928dca3,24,3
n53ddb87df48b,19,2
n3fd9abe36547,22,0
n3d2a1f8d6a8e,17,0
nccb2555355ad,30,0
n4f0ddd6961fa,9,0
n60861d6ba204,22,3
nb947f78249ba,18,0
n12201dd9b5ff,56,0
n6103ab79ffb4,36,0
n96bfc421a26d,13,0
n0b825c8ca1cd,11,0
n4d46f4c63f16,18,5
nc319e3383518,18,4
n081a5b200523,29,0
n26143a47c054,19,2
n8af759621330,60,5
ne853a5e34d26,23,4
ne852d46a8e7d,29,0
n093920fe2ad0,10,2
n07416cbde595,17,3
ne05471c0675e,24,0
na39630ab349d,14,2
n69be1a1f90f4,12,0
na33ab3948ef9,21,0
n2962eed0a9d4,16,0
n40175cece20c,25,2
n0c9b355a99c9,28,0
n1584fd23e2ce,15,4
n010c671b5d53,12,0
n661120ea1cb3,24,11
n09247ed4fa70,30,7
ndf8fd15e2ca0,20,14
n7540136bf03c,12,0
n44108f527a29,4,0
n359e812b0ab5,14,0
n3df7eb2c83f6,36,4
n8509829bfd99,13,0
ncd12f1fca6d2,53,4
n9d10ce9a86d3,7,0
n163696d4f163,9,0
n68ae8f54f747,12,1
n3f384bcc700c,16,0
n66e70669703e,12,0
ncfd0c44243f0,8,0
n9a67fecb68b6,12,5
n41587aa59f87,7,2
nba6c8d042bab,14,2
n36c149a7708a,11,4
n995baed7ded7,16,0
nc26003dfcebd,27,0
nbc8e22ad7cc7,19,0
na3b1cce5678c,64,4
nc8c2db0f0a20,13,2
neb9f4e6e71c0,6,0
n198e113d8fa9,5,2
n3df2abbd3e90,19,0
n5148d2263bc4,3,0
n1f856521dcc6,7,0
n81d484e6e928,3,0
n8ff40bd1f6e2,31,4
n280140423c90,20,2
n6f8b1868b452,7,0
n264cd9e99021,7,0
nef0eee72e29d,23,0
nae521725949f,18,0
nbf5b6023ea85,48,6
nb3b22defdb49,4,0
n08c433ea540a,18,0
nd4d236c6cb27,13,0
n8b612ec93167,15,0
n00864a9be6ee,8,0
neb919b966dce,11,0
nd31dc1844298,9,2
n3bd86f52e364,14,0
n9498deb77d3a,3,0
n9b34d64821d9,12,0
n142a69d545aa,10,0
n420a947a887b,11,3
n8307b08e003d,16,0
n13a11e3755f6,10,0
n590ba35c7a41,19,0
n27810521a1ba,6,0
n3fbdcd94294e,6,0
n8551a6a14870,17,0
n348ed9904976,13,0
n26a2d7839528,13,0
nbca407b2fd33,4,0
n5d6f1b58cb06,6,0
n59fdf2b8f4ae,5,0
ne0aee52dc40a,4,0
n53d27dfb0411,5,0
nc29de171f59d,7,1
nf26bbd40f67d,8,0
n5557170c31bb,6,0
n3a0a768238a3,13,0
n4a8030d105a4,17,0
n116978369dbd,2,0
n26322a0b20c1,5,0
n8859539783be,6,0
n8324b0d3c243,8,0
n205d389bba48,103,5
ne8e48c3dabcb,4,0
ncd243f6ab3c4,7,0
n658b8cc637f6,7,0
nd6ba237c0eb7,4,0
ncf485b303b59,6,0
n75c22ba2457f,11,0
n806a5cdbee60,6,0
nb5da69fd69ff,13,0
n94da7a52ea24,10,2
n6f95c764bc62,6,0
nbccf3a81e45c,3,0
n27e2942c02d7,62,3
nd3bf83ee8270,5,0
n8894a18d51c1,5,0
n1130818619a2,5,0
n8b80b1c37c22,2,0
n1fa3983abb53,7,0
n3a93bf679b2c,4,7
na7053d705ed5,4,0
n07d869d6422e,5,2
n066fb6464129,5,0
n7df1c359e56e,6,2
n074930ee4989,3,0
n876dd0c9e114,10,8
n30ce9211450c,7,2
n911d43f9e3fa,5,0
n7135be30f7e6,4,4
n683b6ce7ee4a,3,4
nbb8ac2f5091d,4,2
n7bd39322fb23,6,2
nce91fe6494a6,4,2
n34abd580cd60,3,2
ndd8de2be7b75,10,4
n8cf8cff84c68,9,4
